WKT,road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
"MULTILINESTRING ((174.76578185 -36.8520365167,174.7663958 -36.8519611167),(174.764717343952 -36.8521679694531,174.7648445833 -36.85214825),(174.7648445833 -36.85214825,174.76578185 -36.8520365167))",1824776,Addressing Road,Unknown,Road,Rutland Street,Rutland St,,Rutland,Street,,,,,,Rutland Street,Rutland St,Rutland
"LINESTRING (174.7776386333 -36.8668082167,174.7765086833 -36.8665780667)",1825421,Addressing Road,Unknown,Road,Short Street,Short St,,Short,Street,,,,,,Short Street,Short St,Short
"MULTILINESTRING ((174.77453465 -36.8494257333,174.7745361167 -36.8494951667,174.7745375333 -36.84971595,174.7745205 -36.8499623,174.7745002 -36.8501880833,174.7744839 -36.8503042333,174.7744480667 -36.85042755,174.7742943333 -36.8504806167),(174.77453485 -36.8491711,174.7745313333 -36.8492692167,174.77453465 -36.8494257333),(174.7745383 -36.84908585,174.77453485 -36.8491711),(174.7744765167 -36.8487666833,174.7745008667 -36.8488476,174.7745296333 -36.8489614167,174.7745398333 -36.8490479667,174.7745389833 -36.8490689167,174.7745383 -36.84908585),(174.774177 -36.8480793,174.7741997 -36.8481127,174.7742623833 -36.8482332167,174.7743187333 -36.8483527667,174.7743691167 -36.8484682333,174.77441465 -36.8485968167,174.7744614333 -36.8487225833,174.7744765167 -36.8487666833),(174.7729197333 -36.8465375667,174.773367 -36.8470319833),(174.7723113 -36.8459953,174.7723977833 -36.84604815,174.7725014 -36.8461245833,174.7726691667 -36.846258,174.7727762167 -36.8463766833,174.7729197333 -36.8465375667),(174.770087499329 -36.845540601647,174.770377409158 -36.8455430235796),(174.771603394132 -36.845738733757,174.7716606333 -36.8457531833,174.77190825 -36.8458157,174.7720291833 -36.8458475333,174.7721648 -36.84591185,174.7722876 -36.8459808167,174.7723113 -36.8459953),(174.770377409158 -36.8455430235796,174.770612992927 -36.8455445297766,174.770867935394 -36.8455690142098,174.771603394132 -36.845738733757),(174.7737147833 -36.8474164167,174.7737261833 -36.8474294,174.7738206667 -36.8475550667,174.77390585 -36.8476513333,174.7739860833 -36.8477488333,174.7740647167 -36.8478666333,174.7741373 -36.84799995,174.774177 -36.8480793),(174.773367 -36.8470319833,174.7737147833 -36.8474164167))",1824706,Addressing Road,Unknown,Road,Beach Road,Beach Rd,,Beach,Road,,,,,,Beach Road,Beach Rd,Beach
"MULTILINESTRING ((174.7829286333 -36.8589909,174.7841890167 -36.8584248333),(174.7841890167 -36.8584248333,174.7848379833 -36.85812125),(174.7848379833 -36.85812125,174.7857287 -36.8577063333,174.7857735167 -36.8576848),(174.7857735167 -36.8576848,174.78612375 -36.8575212667),(174.78612375 -36.8575212667,174.7864018167 -36.8573919167,174.7872804167 -36.8567117167,174.7872982167 -36.8566832),(174.7891381833 -36.85401755,174.7892408333 -36.8538680333),(174.7892408333 -36.8538680333,174.7901900333 -36.8524889333),(174.7901900333 -36.8524889333,174.79121285 -36.85094895),(174.79121285 -36.85094895,174.79175015 -36.8501395667),(174.7872982167 -36.8566832,174.7874317333 -36.8564917167,174.7883780167 -36.8551178333),(174.7883780167 -36.8551178333,174.7891381833 -36.85401755))",1831396,Addressing Road,Unknown,Road,St Stephens Avenue,St Stephens Ave,,St Stephens,Avenue,,,,,,St Stephens Avenue,St Stephens Ave,St Stephens
"MULTILINESTRING ((174.7911560333 -36.8530350833,174.7912402 -36.8531935,174.7913100833 -36.8532730167,174.7913722833 -36.8533514333,174.7914956 -36.853428,174.7916357833 -36.85348185,174.7919384167 -36.8535077167,174.7920483667 -36.8535086333,174.7920922167 -36.8535232667,174.7921195333 -36.8535507333,174.79237815 -36.8537878167),(174.7901900333 -36.8524889333,174.7902987333 -36.8525283,174.7910795 -36.85288475,174.7911560333 -36.8530350833))",1831411,Addressing Road,Unknown,Road,Crescent Road,Crescent Rd,,Crescent,Road,,,,,,Crescent Road,Crescent Rd,Crescent
"LINESTRING (174.77151645 -36.8624940667,174.7717592667 -36.8616266667,174.7720110667 -36.8608911333)",3017859,Addressing Road,Unknown,Road,Grandstand Road North,Grandstand Rd N,,Grandstand,Road,North,,,,,Grandstand Road North,Grandstand Rd N,Grandstand
"MULTILINESTRING ((174.765648762687 -36.8560926384138,174.7656476833 -36.8560954333,174.765717 -36.8563847667),(174.766012329048 -36.8554406030626,174.76605435 -36.8554754167,174.7662862 -36.8558739667),(174.764717343952 -36.8533515109135,174.7647901167 -36.8534735167),(174.7651323333 -36.8540515,174.76549325 -36.8546761),(174.7647901167 -36.8534735167,174.7651323333 -36.8540515),(174.76549325 -36.8546761,174.7656236833 -36.8549018167),(174.7658659333 -36.8553193167,174.7658417333 -36.8554248333,174.76584145 -36.85542705,174.7657973833 -36.8556544167,174.7657338833 -36.8558722333,174.765648762687 -36.8560926384138),(174.7658659333 -36.8553193167,174.766012329048 -36.8554406030626),(174.7656236833 -36.8549018167,174.7658659333 -36.8553193167))",3060751,Addressing Road,Unknown,Road,Wakefield Street,Wakefield St,,Wakefield,Street,,,,,,Wakefield Street,Wakefield St,Wakefield
"LINESTRING (174.7808884833 -36.8698046833,174.781101967716 -36.8699909786325)",1823957,Addressing Road,Unknown,Road,Mamie Street,Mamie St,,Mamie,Street,,,,,,Mamie Street,Mamie St,Mamie
"MULTILINESTRING ((174.7663566333 -36.8485148333,174.7662499167 -36.8488936333,174.7661676167 -36.8491394833,174.76609695 -36.8492587333),(174.76686975 -36.84655445,174.7668726333 -36.8466508333,174.7667216167 -36.8471997167),(174.7665615333 -36.8477656833,174.7663566333 -36.8485148333),(174.7667216167 -36.8471997167,174.7665615333 -36.8477656833))",1823990,Addressing Road,Unknown,Road,High Street,High St,,High,Street,,,,,,High Street,High St,High
"LINESTRING (174.7680993333 -36.8582080333,174.76865275 -36.8585518)",1824057,Addressing Road,Unknown,Road,Moehau Street,Moehau St,,Moehau,Street,,,,,,Moehau Street,Moehau St,Moehau
"LINESTRING (174.7683416333 -36.8500157667,174.7689525667 -36.8486546167)",1824319,Addressing Road,Unknown,Road,Bowen Lane,Bowen Lane,,Bowen,Lane,,,,,,Bowen Lane,Bowen Lane,Bowen
"MULTILINESTRING ((174.7724080167 -36.8502210333,174.7730656833 -36.8507492833,174.77320865 -36.85093355),(174.7734315333 -36.8520697333,174.7735781167 -36.8522353333,174.7738335667 -36.8524857167),(174.77320865 -36.85093355,174.7732568667 -36.8510124667,174.7733889167 -36.8512935,174.77339735 -36.8514619333,174.7733804833 -36.851643,174.7733333833 -36.8518403167,174.7734315333 -36.8520697333))",1824374,Addressing Road,Unknown,Road,Alten Road,Alten Rd,,Alten,Road,,,,,,Alten Road,Alten Rd,Alten
"LINESTRING (174.7817209333 -36.8691865833,174.782023653539 -36.8699909786325)",1824389,Addressing Road,Unknown,Road,Ada Street,Ada St,,Ada,Street,,,,,,Ada Street,Ada St,Ada
"LINESTRING (174.7902566333 -36.8566520333,174.7905089333 -36.85616895,174.7905151833 -36.8561556333,174.79052305 -36.8561506833,174.7905332667 -36.8561457667,174.79054115 -36.8561418833,174.7905452833 -36.8561412333,174.7905522167 -36.8561388,174.7905572833 -36.8561367,174.7905651833 -36.8561328333,174.79084605 -36.8560613,174.79085825 -36.8560575833,174.7908701 -36.8560532167,174.7908815667 -36.8560481833,174.79089255 -36.8560425167,174.7909030333 -36.8560362667,174.79091295 -36.8560294333,174.79092225 -36.8560220667,174.7909308833 -36.8560142167,174.79093885 -36.8560059,174.79094605 -36.8559971667,174.7909524667 -36.8559880333,174.7909550167 -36.8559839667,174.79110675 -36.8556684833,174.79111095 -36.8556595667,174.7911143833 -36.85565045,174.7911170333 -36.8556411833,174.79111885 -36.8556317833,174.7911198333 -36.8556223167,174.7911200333 -36.8556128167,174.7911193833 -36.8556033333,174.7911179 -36.8555939,174.7911156167 -36.8555846,174.7911125167 -36.8555754333,174.7911086333 -36.8555664833,174.7911086 -36.8555664,174.7909618333 -36.855239,174.7909586833 -36.85522775,174.7909565333 -36.85521635,174.79095535 -36.8552048667,174.7909551833 -36.8551933333,174.7909560167 -36.8551818167,174.7909578667 -36.8551703667,174.7909606833 -36.85515905,174.7909644833 -36.8551479,174.79096925 -36.8551369833,174.7909725833 -36.8551305,174.79127365 -36.8547244667)",1824430,Addressing Road,Unknown,Road,Papahia Street,Papahia St,,Papahia,Street,,,,,,Papahia Street,Papahia St,Papahia
"MULTILINESTRING ((174.77263275 -36.8487925833,174.7727706333 -36.8491122833),(174.7725683 -36.8486431333,174.77263275 -36.8487925833),(174.7724555667 -36.8485128833,174.7725301833 -36.84855475,174.7725683 -36.8486431333),(174.7704359167 -36.8471092333,174.7709430833 -36.8472489167,174.7710153667 -36.84725115),(174.7712700167 -36.8475842833,174.7713597 -36.8477006333),(174.7710153667 -36.84725115,174.7712700167 -36.8475842833),(174.7713597 -36.8477006333,174.7713689 -36.8477125833,174.7715353833 -36.8478623),(174.7721444833 -36.8483235167,174.7722615833 -36.8484040167,174.7724555667 -36.8485128833),(174.7715353833 -36.8478623,174.7715628833 -36.8478870333,174.7717398833 -36.8480317667,174.7717472833 -36.8480385667,174.7721084667 -36.84829875,174.7721444833 -36.8483235167))",1824805,Addressing Road,Unknown,Road,Eden Crescent,Eden Cres,,Eden,Crescent,,,,,,Eden Crescent,Eden Cres,Eden
"LINESTRING (174.7754764167 -36.8670928833,174.7757525 -36.8662881)",1825411,Addressing Road,Unknown,Road,Suiter Street,Suiter St,,Suiter,Street,,,,,,Suiter Street,Suiter St,Suiter
"LINESTRING (174.7680906667 -36.86550065,174.7685571333 -36.86407615)",1825423,Addressing Road,Unknown,Road,Parkfield Terrace,Parkfield Tce,,Parkfield,Terrace,,,,,,Parkfield Terrace,Parkfield Tce,Parkfield
"MULTILINESTRING ((174.7697275167 -36.8685767667,174.769888 -36.8680635333),(174.769888 -36.8680635333,174.7701395 -36.8672351667),(174.770486412664 -36.866130060875,174.7701392 -36.8672350833),(174.7705167167 -36.8660336167,174.770486412664 -36.866130060875),(174.7696735 -36.8687502667,174.7695355333 -36.8692491),(174.7696735 -36.8687502667,174.7697275167 -36.8685767667),(174.7695355333 -36.8692491,174.768853348603 -36.8699909786325))",1830556,Addressing Road,Unknown,Road,Mountain Road,Mountain Rd,,Mountain,Road,,,,,,Mountain Road,Mountain Rd,Mountain
"MULTILINESTRING ((174.7655458333 -36.8649710833,174.7658512167 -36.8639915667),(174.7658512167 -36.8639915667,174.7658710667 -36.8639284167))",1835302,Addressing Road,Unknown,Road,Arawa Street,Arawa St,,Arawa,Street,,,,,,Arawa Street,Arawa St,Arawa
"MULTILINESTRING ((174.7660921833 -36.8665446167,174.765562 -36.86670615,174.764717343952 -36.8669586027792),(174.76703675 -36.8662969333,174.7660921833 -36.8665446167),(174.7675590833 -36.8661609,174.768116 -36.86561965,174.7680906667 -36.86550065),(174.7674191 -36.8662015,174.7675590833 -36.8661609),(174.76703675 -36.8662969333,174.7672564333 -36.8662463),(174.7672564333 -36.8662463,174.7674191 -36.8662015))",1818745,Addressing Road,Unknown,Road,Boston Road,Boston Rd,,Boston,Road,,,,,,Boston Road,Boston Rd,Boston
"MULTILINESTRING ((174.76940715 -36.8453923167,174.769800011955 -36.8454958540382,174.769957594656 -36.8455235411815,174.770087499329 -36.845540601647),(174.7688974333 -36.84525885,174.76940715 -36.8453923167),(174.76838655 -36.8451257167,174.7688974333 -36.84525885),(174.768031702279 -36.8450329124071,174.76838655 -36.8451257167),(174.767378922392 -36.8448597862802,174.767416868237 -36.8448697008865),(174.7666727167 -36.8446752667,174.767378922392 -36.8448597862802),(174.767900181821 -36.8449982926201,174.768031702279 -36.8450329124071),(174.767416868237 -36.8448697008865,174.767900181821 -36.8449982926201))",1823881,Addressing Road,Unknown,Road,Customs Street East,Customs St E,,Customs,Street,East,,,,,Customs Street East,Customs St E,Customs
"LINESTRING (174.77998615 -36.8652415333,174.7797829333 -36.86589325)",1831704,Addressing Road,Unknown,Road,Leek Street,Leek St,,Leek,Street,,,,,,Leek Street,Leek St,Leek
"MULTILINESTRING ((174.779927646388 -36.8699909786325,174.7798069833 -36.8698534667,174.77973875 -36.86978735,174.7797066167 -36.8697583333,174.7794997333 -36.8695970833,174.7794656667 -36.8695664167,174.77937045 -36.86946105),(174.7792184833 -36.8693385,174.7792867167 -36.8693845833,174.7793431667 -36.8694308667,174.77937045 -36.86946105))",1829828,Addressing Road,Unknown,Road,Joseph Banks Terrace,Joseph Banks Tce,,Joseph Banks,Terrace,,,,,,Joseph Banks Terrace,Joseph Banks Tce,Joseph Banks
"MULTILINESTRING ((174.7771612833 -36.8682981,174.7763521 -36.8681231667),(174.7763521 -36.8681231667,174.7751728 -36.8678727833))",1831703,Addressing Road,Unknown,Road,Kent Street,Kent St,,Kent,Street,,,,,,Kent Street,Kent St,Kent
"LINESTRING (174.7892927833 -36.8570791833,174.7910502333 -36.8579877333)",1823693,Addressing Road,Unknown,Road,Logan Terrace,Logan Tce,,Logan,Terrace,,,,,,Logan Terrace,Logan Tce,Logan
"LINESTRING (174.7811574 -36.86281315,174.7798329 -36.8618747)",1823729,Addressing Road,Unknown,Road,Maunsell Road,Maunsell Rd,,Maunsell,Road,,,,,,Maunsell Road,Maunsell Rd,Maunsell
"LINESTRING (174.7819019667 -36.8576891667,174.7811375667 -36.8580629667,174.7810233667 -36.8582074833,174.78102375 -36.8583309333,174.7814211333 -36.8588386167,174.78175335 -36.85907755,174.7822700833 -36.8592548,174.7829565667 -36.8593075667)",1823815,Addressing Road,Unknown,Road,Birdwood Crescent,Birdwood Cres,,Birdwood,Crescent,,,,,,Birdwood Crescent,Birdwood Cres,Birdwood
"MULTILINESTRING ((174.77542560586 -36.8670816158923,174.7751728 -36.8678727833),(174.775014874679 -36.8686604075418,174.775135342279 -36.8690932847879),(174.7751728 -36.8678727833,174.77500740134 -36.8684225062554,174.775001796336 -36.8684754424055,174.775000862169 -36.868563565526,174.775014874679 -36.8686604075418))",1831702,Addressing Road,Unknown,Road,Crowhurst Street,Crowhurst St,,Crowhurst,Street,,,,,,Crowhurst Street,Crowhurst St,Crowhurst
"LINESTRING (174.7659136833 -36.86149725,174.76518855 -36.8610772333)",1823816,Addressing Road,Unknown,Road,Beckham Place,Beckham Pl,,Beckham,Place,,,,,,Beckham Place,Beckham Pl,Beckham
"MULTILINESTRING ((174.764717343952 -36.8627733950097,174.76477435 -36.8627175167),(174.7678779167 -36.85940515,174.7669733833 -36.86036445),(174.76901615 -36.8579430833,174.7688031167 -36.8583895167,174.76865275 -36.8585518),(174.76901615 -36.8579430833,174.7690461333 -36.8578835833),(174.7685852833 -36.8586246167,174.7678779167 -36.85940515),(174.7685852833 -36.8586246167,174.76865275 -36.8585518),(174.7659136833 -36.86149725,174.7648406333 -36.862652,174.76477435 -36.8627175167),(174.7669733833 -36.86036445,174.7659136833 -36.86149725),(174.7712147167 -36.8552297,174.7709830833 -36.8554691833,174.7699513 -36.8562376,174.76979505 -36.8563627833),(174.77080745 -36.8541000167,174.770834441268 -36.854363701641),(174.7707676167 -36.85377335,174.77080745 -36.8541000167),(174.7704056167 -36.8518840667,174.7705325833 -36.8520827333,174.7706598333 -36.8529616),(174.7707240833 -36.8534721333,174.7707676167 -36.85377335),(174.7706598333 -36.8529616,174.7707240833 -36.8534721333),(174.7708502833 -36.8545184667,174.77086315 -36.85458155,174.7709323333 -36.8547662167,174.7712147167 -36.8552297),(174.770834441268 -36.854363701641,174.7708502833 -36.8545184667),(174.7693163167 -36.8573436667,174.7690461333 -36.8578835833),(174.76979505 -36.8563627833,174.7693190833 -36.8573375,174.7693163167 -36.8573436667))",3019621,Addressing Road,Unknown,Road,Grafton Road,Grafton Rd,,Grafton,Road,,,,,,Grafton Road,Grafton Rd,Grafton
"LINESTRING (174.7701395 -36.8672351667,174.7711728667 -36.8674608167)",1823694,Addressing Road,Unknown,Road,Lion Place,Lion Pl,,Lion,Place,,,,,,Lion Place,Lion Pl,Lion
"LINESTRING (174.792131053851 -36.8669874263975,174.7943921 -36.8655928167,174.7941684667 -36.8649657833)",1824517,Addressing Road,Unknown,Road,Woodville Road,Woodville Rd,,Woodville,Road,,,,,,Woodville Road,Woodville Rd,Woodville
"MULTILINESTRING ((174.7681700833 -36.8540863167,174.7658120833 -36.8537942667),(174.764717343952 -36.8542025805025,174.7651323333 -36.8540515),(174.7658120833 -36.8537942667,174.7658091 -36.85379385,174.7651323333 -36.8540515))",1823770,Addressing Road,Unknown,Road,St Paul Street,St Paul St,,St Paul,Street,,,,,,St Paul Street,St Paul St,St Paul
"LINESTRING (174.7673769833 -36.85910045,174.7678779167 -36.85940515)",1831442,Addressing Road,Unknown,Road,Ferncroft Street,Ferncroft St,,Ferncroft,Street,,,,,,Ferncroft Street,Ferncroft St,Ferncroft
"LINESTRING (174.7810115833 -36.84894775,174.7811068667 -36.8488610167,174.7812648167 -36.8488601333,174.78132565 -36.84895305,174.7813859167 -36.8491068333,174.7812222333 -36.8492225667,174.7809715833 -36.8491656333,174.78065655 -36.8490233667)",1832989,Addressing Road,Unknown,Road,Dovedale Place,Dovedale Pl,,Dovedale,Place,,,,,,Dovedale Place,Dovedale Pl,Dovedale
"MULTILINESTRING ((174.7862804833 -36.8521933167,174.7847828833 -36.85240265),(174.7847828833 -36.85240265,174.7846593833 -36.8517161833))",1823796,Addressing Road,Unknown,Road,Stanwell Street,Stanwell St,,Stanwell,Street,,,,,,Stanwell Street,Stanwell St,Stanwell
"LINESTRING (174.764717343952 -36.8496006233839,174.7650555 -36.8496969333)",1823885,Addressing Road,Unknown,Road,Darby Street,Darby St,,Darby,Street,,,,,,Darby Street,Darby St,Darby
"MULTILINESTRING ((174.7675604333 -36.8547756,174.767371166617 -36.8547540151489),(174.7665214833 -36.8546571,174.7663378333 -36.8546225167,174.7662439333 -36.8546599833),(174.7656236833 -36.8549018167,174.7659686167 -36.8547673333),(174.767371166617 -36.8547540151489,174.7671437833 -36.8547280833),(174.7671437833 -36.8547280833,174.7665214833 -36.8546571),(174.7662439333 -36.8546599833,174.7659702833 -36.8547666833,174.7659686167 -36.8547673333))",1823939,Addressing Road,Unknown,Road,Mount Street,Mount St,,Mount,Street,,,,,,Mount Street,Mount St,Mount
"MULTILINESTRING ((174.7774225333 -36.8674979667,174.7782446667 -36.8676612),(174.77661095 -36.8673343167,174.7774225333 -36.8674979667),(174.7765431833 -36.8673204333,174.77661095 -36.8673343167),(174.77542560586 -36.8670816158923,174.7754764167 -36.8670928833),(174.7745624833 -36.8668902167,174.77542560586 -36.8670816158923),(174.7762894167 -36.8672719333,174.7765431833 -36.8673204333),(174.7754764167 -36.8670928833,174.7762894167 -36.8672719333),(174.7705167167 -36.8660336167,174.7719508667 -36.8663317833),(174.769581212588 -36.8658451373298,174.7705167167 -36.8660336167),(174.7719508667 -36.8663317833,174.7725771167 -36.8664669833),(174.7736866667 -36.8667033833,174.7745624833 -36.8668902167),(174.7725771167 -36.8664669833,174.7736866667 -36.8667033833),(174.7680906667 -36.86550065,174.7689250833 -36.8656932833),(174.7671774833 -36.8653130333,174.7680906667 -36.86550065),(174.7668555 -36.8652389833,174.7671774833 -36.8653130333),(174.764717343952 -36.8648026551419,174.7655458333 -36.8649710833),(174.7664041 -36.8651497833,174.7668555 -36.8652389833),(174.7655458333 -36.8649710833,174.7664041 -36.8651497833),(174.769446854082 -36.8658145391332,174.769581212588 -36.8658451373298),(174.7689250833 -36.8656932833,174.769446854082 -36.8658145391332))",3038313,Addressing Road,Unknown,Road,Khyber Pass Road,Khyber Pass Rd,,Khyber Pass,Road,,,,,,Khyber Pass Road,Khyber Pass Rd,Khyber Pass
"LINESTRING (174.795358776994 -36.8699909786325,174.7954122 -36.8680575833)",1831399,Addressing Road,Unknown,Road,Standen Avenue,Standen Ave,,Standen,Avenue,,,,,,Standen Avenue,Standen Ave,Standen
"LINESTRING (174.7792984833 -36.8692554833,174.7794308667 -36.86929815,174.7794947167 -36.8693049167,174.7795465 -36.8693032167,174.7796352167 -36.8692670333,174.7796797667 -36.8692377,174.77987765 -36.8690786,174.77992695 -36.8690446167)",3076495,Addressing Road,Accessway,,,,,,,,,,,,,,
"MULTILINESTRING ((174.785586309849 -36.8699909786325,174.7856129667 -36.8699318),(174.7856129667 -36.8699318,174.7863517833 -36.8682990667,174.7863546333 -36.8682436167),(174.7880135 -36.8657168667,174.7888645833 -36.8650953167),(174.7863546333 -36.8682436167,174.78637505 -36.8672756167,174.7865094167 -36.86680045,174.78692075 -36.8665149),(174.78692075 -36.8665149,174.7880135 -36.8657168667))",1824440,Addressing Road,Unknown,Road,Seaview Road,Seaview Rd,,Seaview,Road,,,,,,Seaview Road,Seaview Rd,Seaview
"LINESTRING (174.7804919333 -36.8668342333,174.7806423167 -36.86668775)",3076000,Addressing Road,Accessway,,,,,,,,,,,,,,
"MULTILINESTRING ((174.792131053851 -36.8669874263975,174.791107724023 -36.8663479489615,174.791034811511 -36.8663292470717,174.790965931512 -36.8663208285085,174.79041581942 -36.8663843515231,174.790335974785 -36.8663530307694,174.790293089804 -36.8663014580198,174.790206662581 -36.8660672357046,174.790176472962 -36.8659927679765,174.790132111419 -36.8659157302571,174.790068122053 -36.8658248731593,174.789860268191 -36.8655790442434,174.7895577667 -36.8654867),(174.792405964337 -36.8697141914174,174.7926222 -36.8681489667,174.792501197561 -36.8677815219248),(174.792501197561 -36.8677815219248,174.792378302545 -36.8674479076372,174.792311662782 -36.8672409488602,174.792267607274 -36.8671278976703,174.792225698979 -36.8670688911257,174.792131053851 -36.8669874263975),(174.7923663667 -36.8698115,174.792405964337 -36.8697141914174),(174.792199249814 -36.8699909786325,174.7923663667 -36.8698115))",1823913,Addressing Road,Unknown,Road,Arney Road,Arney Rd,,Arney,Road,,,,,,Arney Road,Arney Rd,Arney
