WKT,road_id,geometry_class,road_type,road_name_class,full_road_name,road_name_label,road_name_prefix,road_name_body,road_name_type,road_name_suffix,route_name_body,route_name_number,route_name_alpha,route_name_suffix,full_road_name_ascii,road_name_label_ascii,road_name_body_ascii
"LINESTRING (174.7738335667 -36.8524857167,174.77395095 -36.8525705167,174.7740806833 -36.8526567167,174.7742587667 -36.8527658,174.7744562 -36.8528941333,174.77455215 -36.8529456667)",3034534,Addressing Road,Unknown,Road,Nicholls Lane,Nicholls Lane,,Nicholls,Lane,,,,,,Nicholls Lane,Nicholls Lane,Nicholls
"LINESTRING (174.7649654 -36.85515665,174.7656236833 -36.8549018167)",1823955,Addressing Road,Unknown,Road,Lyndock Street,Lyndock St,,Lyndock,Street,,,,,,Lyndock Street,Lyndock St,Lyndock
"LINESTRING (174.7782945 -36.85196215,174.77815685 -36.8521763,174.7773839333 -36.8530343833)",1823847,Addressing Road,Unknown,Road,Cracroft Street,Cracroft St,,Cracroft,Street,,,,,,Cracroft Street,Cracroft St,Cracroft
"MULTILINESTRING ((174.7648551833 -36.8572002,174.7652949167 -36.8575306333),(174.7647426333 -36.8579901833,174.7651128 -36.8582766833),(174.764717343952 -36.8579707406636,174.7647426333 -36.8579901833),(174.7652949167 -36.8575306333,174.7647426333 -36.8579901833))",1823760,Addressing Road,Unknown,Road,St Martins Lane,St Martins Lane,,St Martins,Lane,,,,,,St Martins Lane,St Martins Lane,St Martins
"MULTILINESTRING ((174.7902579667 -36.8542977833,174.7911560333 -36.8530350833),(174.7880568333 -36.8574193833,174.78815355 -36.85729365,174.7892581 -36.85571205),(174.7892581 -36.85571205,174.7902579667 -36.8542977833))",1831462,Addressing Road,Unknown,Road,Glanville Terrace,Glanville Tce,,Glanville,Terrace,,,,,,Glanville Terrace,Glanville Tce,Glanville
"MULTILINESTRING ((174.7869342 -36.8646218167,174.7873329833 -36.8644112667,174.7874989 -36.8643497833),(174.7834984833 -36.8670700167,174.7843806667 -36.8663628833),(174.7843806667 -36.8663628833,174.7858819333 -36.8651828,174.7869342 -36.8646218167),(174.78370315 -36.8679171333,174.7834984833 -36.8670700167),(174.784022360143 -36.8699909786325,174.7838214333 -36.8695817833,174.7838515 -36.8685215333,174.78370315 -36.8679171333))",1831567,Addressing Road,Unknown,Road,Bassett Road,Bassett Rd,,Bassett,Road,,,,,,Bassett Road,Bassett Rd,Bassett
"LINESTRING (174.7998172667 -36.8694881667,174.80110955587 -36.869620497357)",1823842,Addressing Road,Unknown,Road,Hiriri Avenue,Hiriri Ave,,Hiriri,Avenue,,,,,,Hiriri Avenue,Hiriri Ave,Hiriri
"LINESTRING (174.7857990333 -36.8535997167,174.7859616 -36.8541908333)",1823763,Addressing Road,Unknown,Road,Staffa Street,Staffa St,,Staffa,Street,,,,,,Staffa Street,Staffa St,Staffa
"MULTILINESTRING ((174.7882043 -36.8612844667,174.7886571833 -36.8609483833),(174.7886571833 -36.8609483833,174.7892908833 -36.86047975))",1824466,Addressing Road,Unknown,Road,Lee Street,Lee St,,Lee,Street,,,,,,Lee Street,Lee St,Lee
"MULTILINESTRING ((174.7896953833 -36.8612275667,174.7893303333 -36.8605156167,174.7892908833 -36.86047975),(174.7879097167 -36.85932235,174.7881496667 -36.8591494833,174.7888965333 -36.8591553833,174.78934275 -36.8593306833,174.7901058667 -36.8594757167),(174.7892908833 -36.86047975,174.7885629333 -36.8598216167,174.7884907 -36.8598306167,174.7883540333 -36.8597103167),(174.7883540333 -36.8597103167,174.7879097167 -36.85932235))",1824546,Addressing Road,Unknown,Road,Tohunga Crescent,Tohunga Cres,,Tohunga,Crescent,,,,,,Tohunga Crescent,Tohunga Cres,Tohunga
"MULTILINESTRING ((174.7892776 -36.8615008333,174.7886571833 -36.8609483833),(174.7886571833 -36.8609483833,174.7880794667 -36.8604342667))",1824623,Addressing Road,Unknown,Road,Freemont Street,Freemont St,,Freemont,Street,,,,,,Freemont Street,Freemont St,Freemont
"MULTILINESTRING ((174.7892408333 -36.8538680333,174.7893686 -36.8539107667,174.7902579667 -36.8542977833),(174.79127365 -36.8547244667,174.7917277667 -36.8547012167,174.7921166167 -36.8548681,174.7921535333 -36.8548897667,174.7921818833 -36.8549135667,174.7926379 -36.8554090333),(174.7902579667 -36.8542977833,174.79127365 -36.8547244667))",1824700,Addressing Road,Unknown,Road,Awatea Road,Awatea Rd,,Awatea,Road,,,,,,Awatea Road,Awatea Rd,Awatea
"MULTILINESTRING ((174.77589165 -36.8596600667,174.77598055 -36.8598328167),(174.77377365 -36.86425345,174.7743221667 -36.8638441833,174.7748810833 -36.8634186333,174.7757850167 -36.8630938167),(174.7757850167 -36.8630938167,174.77662485 -36.8613487667,174.7765267167 -36.86085225,174.77598055 -36.8598328167))",1829882,Addressing Road,Unknown,Road,Football Road,Football Rd,,Football,Road,,,,,,Football Road,Football Rd,Football
"MULTILINESTRING ((174.7719938667 -36.8544150667,174.772118314239 -36.8544792811619),(174.77590665 -36.8556920333,174.7760632833 -36.8560446167,174.7761313833 -36.8563308833,174.7768527833 -36.8570104833,174.7770135333 -36.8573018833,174.7772799667 -36.8580356),(174.772118314239 -36.8544792811619,174.77252055 -36.8546868333,174.7730295667 -36.8548794,174.7735408 -36.8548418333,174.77376365 -36.8547247333,174.7739929333 -36.8545427167,174.7743081 -36.8544079,174.7745373 -36.85454025,174.7747142167 -36.8548355,174.7752212667 -36.8551091167,174.77590665 -36.8556920333))",1829887,Addressing Road,Unknown,Road,Lower Domain Drive,Lower Domain Dr,,Lower Domain,Drive,,,,,,Lower Domain Drive,Lower Domain Dr,Lower Domain
"LINESTRING (174.7747606333 -36.86026545,174.77598055 -36.8598328167)",1829889,Addressing Road,Unknown,Road,Wintergarden Road,Wintergarden Rd,,Wintergarden,Road,,,,,,Wintergarden Road,Wintergarden Rd,Wintergarden
"MULTILINESTRING ((174.7793359167 -36.8495633333,174.7798503 -36.8494002333),(174.7798503 -36.8494002333,174.780214 -36.8492641333))",1830329,Addressing Road,Unknown,Road,Augustus Steps,Augustus Stps,,Augustus,Steps,,,,,,Augustus Steps,Augustus Stps,Augustus
"MULTILINESTRING ((174.78400665 -36.86165725,174.7849954 -36.8619898667,174.7860162833 -36.86273875,174.7860233333 -36.8627439167),(174.7826481167 -36.8622485833,174.7834040167 -36.8617207667,174.7837471 -36.8618454833,174.78400665 -36.86165725))",1824473,Addressing Road,Unknown,Road,Laurie Avenue,Laurie Ave,,Laurie,Avenue,,,,,,Laurie Avenue,Laurie Ave,Laurie
"LINESTRING (174.7775628167 -36.8698459333,174.777731714163 -36.8699909786325)",3073448,Addressing Road,Unknown,Road,Remuera Road,Remuera Rd,,Remuera,Road,,,,,,Remuera Road,Remuera Rd,Remuera
"MULTILINESTRING ((174.7680310333 -36.8476755333,174.7694083 -36.8475402333),(174.7670678667 -36.84775195,174.7674089 -36.84771945),(174.7674089 -36.84771945,174.7680310333 -36.8476755333))",1824639,Addressing Road,Unknown,Road,Chancery Street,Chancery St,,Chancery,Street,,,,,,Chancery Street,Chancery St,Chancery
"MULTILINESTRING ((174.7810971667 -36.86629075,174.7810741333 -36.8663119833,174.7808470333 -36.8665081,174.78082055 -36.8665326,174.7806423167 -36.86668775),(174.7812464833 -36.8663986833,174.7811926 -36.8663577333,174.7810971667 -36.86629075),(174.7813476167 -36.8652913,174.78135085 -36.8653330167,174.7811603667 -36.86552675,174.78114985 -36.8655432167),(174.7808170833 -36.8660904167,174.7810971667 -36.86629075),(174.78114985 -36.8655432167,174.7810429833 -36.86571735,174.7809178833 -36.8659190667,174.7808170833 -36.8660904167))",1825420,Addressing Road,Unknown,Road,Laxon Terrace,Laxon Tce,,Laxon,Terrace,,,,,,Laxon Terrace,Laxon Tce,Laxon
"LINESTRING (174.76533225 -36.8490373833,174.764717343952 -36.8488584176024)",3028420,Addressing Road,Unknown,Road,Victoria Street West,Victoria St W,,Victoria,Street,West,,,,,Victoria Street West,Victoria St W,Victoria
