originx,originy,origin,destinationx,destinationy,destination
-36.91086302,174.84657412,34 JAMES WALTER PL,-36.9106284,174.84630175,3 JAMES WALTER PL
-36.89037202,174.77153377,25 KING EDWARD AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.88906385,174.73735683,470 SANDRINGHAM RD,-36.88920155,174.73781953,2 OXTON RD
-36.90527802,174.56207188,132 MOUNTAIN RD,-36.87682003,174.77011633,2 OMANA AVE
-36.89689597,174.74895252,149 LANDSCAPE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88061857,174.81175947,561 REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86641927,174.75004075,30 BUCHANAN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.91209878,174.81042755,17 FAIRFAX AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.88471452,174.73381202,4 FOWLDS AVE,-36.88939482,174.73250962,37 COYLE ST
-36.88471452,174.73381202,4 FOWLDS AVE,-36.88471452,174.73381202,4 FOWLDS AVE
-36.88488113,174.73374623,6 FOWLDS AVE,-36.88898012,174.7324906,54 FOWLDS AVE
-36.88504037,174.7337231,8 FOWLDS AVE,-36.8893017,174.73195655,57 FOWLDS AVE
-36.88544008,174.73362063,12 FOWLDS AVE,-36.8893017,174.73195655,57 FOWLDS AVE
-36.9148457,174.80896633, MAURICE RD,-36.9148457,174.80896633, MAURICE RD
-36.88595597,174.73341593,18 FOWLDS AVE,-36.8893017,174.73195655,57 FOWLDS AVE
-36.88595597,174.73341593,18 FOWLDS AVE,-36.88898012,174.7324906,54 FOWLDS AVE
-36.88767322,174.7336774,44 SHORWELL ST,-36.8872254,174.7326286,37 FOWLDS AVE
-36.88657825,174.73089668,18 LOCARNO AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.91313867,174.84763903,7 MATANGI RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88896913,174.79233932,300 GREAT SOUTH RD,-36.97231195,174.86346165,302 GREAT SOUTH RD
-36.91322342,174.72826555,447 RICHARDSON RD,-36.91241512,174.7284666,2 MCGOWAN ST
-36.86736257,174.75643333,130 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8873499,174.74715083,529 DOMINION RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86007795,174.73374928,5 EDWARDS RD,-36.860109,174.73294217,520 RICHMOND RD
-36.89176098,174.79480183, PURIRI AVE,-36.89176098,174.79480183, PURIRI AVE
-36.88198558,174.64114892,269 GREAT NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88797873,174.73228633, FOWLDS AVE,-36.88677982,174.73325902,26 FOWLDS AVE
-36.88658317,174.73320368,24 FOWLDS AVE,-36.89029455,174.73164727,73 FOWLDS AVE
-36.88797873,174.73228633, FOWLDS AVE,-36.8893017,174.73195655,57 FOWLDS AVE
-36.88617832,174.73338425,20 FOWLDS AVE,-36.88797873,174.73228633, FOWLDS AVE
-36.88797873,174.73228633, FOWLDS AVE,-36.8891534,174.73199247,55 FOWLDS AVE
-36.88605973,174.73338002,18A FOWLDS AVE,-36.89029455,174.73164727,73 FOWLDS AVE
-36.88999062,174.7317431,69 FOWLDS AVE,-36.8872254,174.7326286,37 FOWLDS AVE
-36.88790332,174.73236832,45 FOWLDS AVE,-36.8872254,174.7326286,37 FOWLDS AVE
-36.898579,174.7127393,105 HENDON AVE,-36.8983288,174.71368402,3 HARGEST TCE
-36.89768478,174.75830737,4 RAHIRI RD,-36.89768478,174.75830737,4 RAHIRI RD
-36.85382827,174.78109028,13 RUSKIN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.8986696,174.79979228,36 MASSEY AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.9139436,174.72890057,463 RICHARDSON RD,-36.91241512,174.7284666,2 MCGOWAN ST
-36.91364632,174.72792517,451 RICHARDSON RD,-36.91211807,174.72886097,8 MCGOWAN ST
-36.91364632,174.72792517,451 RICHARDSON RD,-36.91205657,174.72902083,10 MCGOWAN ST
-36.87317923,174.74121167,530 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.857653,174.64156637,45 SHERWOOD AVE,-36.8663262,174.74222262,390 GREAT NORTH RD
-36.86655703,174.76024592,4 FLOWER ST,-36.8646979,174.759153,230 SYMONDS ST
-36.88599217,174.79010735, OTAHURI CRES,-36.8646979,174.759153,230 SYMONDS ST
-36.86491188,174.83997428,28 JOHN RYMER PL,-36.8646979,174.759153,230 SYMONDS ST
-36.89406147,174.71411795,7 RANGE VIEW RD,-36.8646979,174.759153,230 SYMONDS ST
-36.9310123,174.73180845,436 HILLSBOROUGH RD,-36.93085673,174.73148268,440 HILLSBOROUGH RD
-36.89487337,174.71314117,25 RANGE VIEW RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86252513,174.74139308,89 WILLIAMSON AVE,-36.86273193,174.74175525,102 WILLIAMSON AVE
-36.88957167,174.75636435,2 RUAPEHU ST,-36.88957167,174.75636435,2 RUAPEHU ST
-36.87301403,174.73707613,4 WESTERN SPRINGS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85659375,174.74064283,88 BROWN ST,-36.8565315,174.74172468,72 BROWN ST
-36.8565787,174.74104628,82 BROWN ST,-36.85652095,174.74187023,70 BROWN ST
-36.89712433,174.70552353,33 BOLLARD AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.84465622,174.72778323, HERNE BAY RD,-36.84465622,174.72778323, HERNE BAY RD
-36.90502098,174.82272752, LEONARD RD,-36.8646979,174.759153,230 SYMONDS ST
-36.89202885,174.70833607,1140 NEW NORTH RD,-36.89469225,174.70939203, ENNISMORE RD
-37.01515867,174.89236457, GREAT SOUTH RD,-37.0165219,174.89279885,99 GREAT SOUTH RD
-36.89575223,174.7041095,1232 NEW NORTH RD,-36.89839698,174.70135443,178 BLOCKHOUSE BAY RD
-36.86218655,174.74711485,16 SUSSEX ST,-36.8646979,174.759153,230 SYMONDS ST
-36.91279307,174.75101545,65 CARR RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87898072,174.74844382,13 BURNLEY TCE,-36.8646979,174.759153,230 SYMONDS ST
-36.91628378,174.7828433,149 TRAFALGAR ST,-36.91626095,174.78246995,145 TRAFALGAR ST
-37.0137066,174.89236882,64 GREAT SOUTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.88534972,174.72253613,7 WILLIS ST,-36.88477033,174.72226082,66 KITENUI AVE
-36.89406553,174.84068883,34 HARDING AVE,-36.89381995,174.84107973,37A HARDING AVE
-36.88766285,174.79257307,14 MAPAU RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85969517,174.744214,34 MURDOCH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87163215,174.77939555,45 REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86704575,174.7445497, COOPER ST,-36.8646979,174.759153,230 SYMONDS ST
-36.89953465,174.74319608,901 DOMINION RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87961253,174.77291995,24 KIPLING AVE,-36.87961253,174.77291995,24 KIPLING AVE
-36.91518652,174.71616572, BOUNDARY RD,-36.92016637,174.71394845,152 BOUNDARY RD
-36.85853415,174.74556178,26a ROSE RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8880915,174.7469625,561 DOMINION RD,-36.8646979,174.759153,230 SYMONDS ST
-36.91586262,174.7286668,8 BOYCE AVE,-36.91604238,174.72834482,12 BOYCE AVE
-36.86604452,174.73155565,722 GREAT NORTH RD,-36.86562725,174.73219235,708 GREAT NORTH RD
-36.95151962,174.7867223,54 MOUNTAIN RD,-36.8646979,174.759153,230 SYMONDS ST
-36.86018982,174.74953707,24 POLLEN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.86905122,174.76114692,5 HAROLD ST,-36.8646979,174.759153,230 SYMONDS ST
-36.8813052,174.74913033,389 DOMINION RD,-36.8807297,174.74923497,379 DOMINION RD
-36.89699738,174.80002077,21 WILLIAM AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.8935353,174.80625275,8 KENTUCKY ST,-36.8935353,174.80625275,8 KENTUCKY ST
-36.89912668,174.82309687, ALANA PL,-36.8646979,174.759153,230 SYMONDS ST
-36.87926823,174.7335353,47 SAINSBURY RD,-36.87881102,174.73224503, SAINSBURY RD
-36.87222663,174.74353403,505 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87489305,174.77478613,23 ALPERS AVE,-36.87489305,174.77478613,23 ALPERS AVE
-36.92114542,174.73676415,571 RICHARDSON RD,-36.88955858,174.71109835, RICHARDSON RD
-36.87346373,174.74066618,540 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87937825,174.7416625,81 PAICE AVE,-36.88012233,174.74534075,39 PAICE AVE
-36.86754445,174.75245357, AITKEN TCE,-36.86774967,174.75085462, MOSTYN ST
-36.8786051,174.74503393,60 BURNLEY TCE,-36.8646979,174.759153,230 SYMONDS ST
-36.87543448,174.73674097,18 MCDONALD ST,-36.86991668,174.74444858, CENTRAL RD
-36.87503608,174.74923872,8 WALTERS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87514712,174.73675385,25 MCDONALD ST,-36.86991668,174.74444858, CENTRAL RD
-36.87547625,174.73689783,16 MCDONALD ST,-36.86991668,174.74444858, CENTRAL RD
-36.87742842,174.73559953,20 MORNINGSIDE DR,-36.86991668,174.74444858, CENTRAL RD
-36.87554,174.73619933,8 MORNINGSIDE DR,-36.8646979,174.759153,230 SYMONDS ST
-36.87554,174.73619933,8 MORNINGSIDE DR,-36.86991668,174.74444858, CENTRAL RD
-36.93468162,174.84586545,11 WALTERS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8751056,174.75571278,24 HOROEKA AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.8794767,174.74011502,211 SANDRINGHAM RD,-36.8646979,174.759153,230 SYMONDS ST
-36.9111575,174.69478315,31 TAYLOR ST,-36.9106014,174.69420367,21 TAYLOR ST
-36.85696833,174.74150793,87 RICHMOND RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90895553,174.69618158,72 WOLVERTON ST,-36.9106014,174.69420367,21 TAYLOR ST
-36.87269072,174.73712638,5 WESTERN SPRINGS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8873715,174.74551678,15 WIREMU ST,-36.8894435,174.74373598,26 VOLCANIC ST
-36.88709902,174.74409565,29 WIREMU ST,-36.88896615,174.7435132,19 VOLCANIC ST
-36.8801835,174.73475868,10 BOURNEMOUTH AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.88709902,174.74409565,29 WIREMU ST,-36.88837553,174.74407502,10 VOLCANIC ST
-36.88709902,174.74409565,29 WIREMU ST,-36.8891758,174.7438237,22 VOLCANIC ST
-36.8873715,174.74551678,15 WIREMU ST,-36.88935405,174.7441383,24 VOLCANIC ST
-36.88733778,174.74535103,17 WIREMU ST,-36.88935405,174.7441383,24 VOLCANIC ST
-36.85207372,174.74097003,63 SUMMER ST,-36.85207372,174.74097003,63 SUMMER ST
-36.87988705,174.73487168,9 BOURNEMOUTH AVE,-36.87952602,174.73479597,32 MORNINGSIDE DR
-36.91655878,174.73805667,1430 DOMINION RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8560304,174.74476187,21 BROWN ST,-36.8560304,174.74476187,21 BROWN ST
-36.8870716,174.75096987,3 TENTERDEN AVE,-36.8870716,174.75096987,3 TENTERDEN AVE
-36.88815213,174.84548817,16 GANLEY TCE,-36.8646979,174.759153,230 SYMONDS ST
-36.89595657,174.83252603, HARRIS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87971492,174.8199081,687 REMUERA RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87261243,174.74479922,27 SANDRINGHAM RD,-36.8646979,174.759153,230 SYMONDS ST
-36.85481457,174.74545838,1 NORFOLK ST,-36.8551686,174.74435223,20 NORFOLK ST
-36.91669582,174.73801808,1432 DOMINION RD,-36.91655878,174.73805667,1430 DOMINION RD
-36.89103972,174.7237313,1 MOUNT ROYAL AVE,-36.89131822,174.72264533,7 MOUNT ROYAL AVE
-36.87548898,174.73335585,636 NEW NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8501461,174.85125222,335 TAMAKI DR,-36.8646979,174.759153,230 SYMONDS ST
-36.84908637,174.73323173,22 BAYFIELD RD,-36.84819212,174.73278045,1 BAYFIELD RD
-36.92658502,174.74641988,10 FLORENCE DALY PL,-36.9263594,174.7474708, FLORENCE DALY PL
-36.91316093,174.72871538,480 RICHARDSON RD,-36.91272085,174.72873523,1A MCGOWAN ST
-36.90119913,174.7922935, CAMPBELL RD,-36.8646979,174.759153,230 SYMONDS ST
-36.8746666,174.73850862,32 ROSSMAY TCE,-36.8646979,174.759153,230 SYMONDS ST
-36.87466673,174.7387036,30 ROSSMAY TCE,-36.8646979,174.759153,230 SYMONDS ST
-36.87538978,174.73763223,42 ALTHAM AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.90911425,174.77659117,3 RAURENGA AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.86618472,174.74631892,39 HOME ST,-36.8646979,174.759153,230 SYMONDS ST
-36.86007545,174.73356752,3 EDWARDS RD,-36.8646979,174.759153,230 SYMONDS ST
-36.87526755,174.7379291,40 ALTHAM AVE,-36.87468325,174.74119242,2 ROSSMAY TCE
-36.86733918,174.8198902,10 PUROTO ST,-36.8646979,174.759153,230 SYMONDS ST
-36.8646979,174.759153,230 SYMONDS ST,-36.87459818,174.74013965,14 ROSSMAY TCE
-36.8646979,174.759153,230 SYMONDS ST,-36.87437405,174.73795882, ROSSMAY TCE
-36.92452397,174.7854406, ONEHUNGA MALL,-36.8646979,174.759153,230 SYMONDS ST
-36.91333583,174.72908122,484 RICHARDSON RD,-36.91272085,174.72873523,1a MCGOWAN ST
-36.89768478,174.75830737,4 RAHIRI RD,-36.89770037,174.75856862,6 RAHIRI RD
-36.91084572,174.86560512,12 WILLIAMS AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.8962319,174.80775958,7a HURST ST,-36.8646979,174.759153,230 SYMONDS ST
-36.9510922,174.84038457,11 KURANUI PL,-36.93957762,174.89184393,61 CROOKS RD
-36.86978773,174.7725666, ALMORAH PL,-36.8646979,174.759153,230 SYMONDS ST
-36.8605136,174.74533418,52 WILLIAMSON AVE,-36.8646979,174.759153,230 SYMONDS ST
-36.87815702,174.79170723, WESTBURY CRES,-36.8765425,174.79239115, EASTBOURNE RD
-36.84841663,174.74178997,19 POMPALLIER TCE,-36.84874197,174.74250395,14 POMPALLIER TCE
-36.86389603,174.7767081, MORGAN ST,-36.8646979,174.759153,230 SYMONDS ST
-36.86644973,174.74188708,406 GREAT NORTH RD,-36.8646979,174.759153,230 SYMONDS ST
-36.90112512,174.70432605,34 NEW WINDSOR RD,-36.8646979,174.759153,230 SYMONDS ST
-36.79505918,174.75284798,30 AKORANGA DR,-36.7874206,174.74295142, SUNNYBRAE RD
-36.78351222,174.72113478,416 GLENFIELD RD,-36.79656013,174.72477608,7 SPEEDY CRES
-36.79146737,174.77388128,437 LAKE RD,-36.79190098,174.77466878,400 LAKE RD
-36.8046404,174.72511465,134 BIRKENHEAD AVE,-36.80504702,174.72517415,128 BIRKENHEAD AVE
-36.82851327,174.79531313,14 CALLIOPE RD,-36.82886365,174.79485433,17 CALLIOPE RD
-36.74116907,174.72718462,62 APOLLO DR,-36.74313355,174.71958642,18 COWLEY PL
-36.752159,174.72456721,3 CABELLO PL,-36.75273555,174.72562017,42 SANTIAGO CRES
-36.74898775,174.7304869,40 CONSTELLATION DR,-36.74799232,174.7285158,14 VEGA PL
